"MakeModel";"Alias";"ModelId"
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ ""White""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ 7BCM ""Cr1-Software-Mirian Marie""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ 7BCM ""NC4714E""";119
Aeronca Champion;"CR-1 Software.Ltd Aeronca Champ 7BCM ""NC48271 Metalic Blue""";119
Agusta A109;A109 HEMS Smallnose Snow Elilombarda I-CEPA;71
Agusta A109;A109E;71
Agusta A109;Agusta A109;71
Agusta A109;Agusta A109 Blue and Red;71
Agusta A109;Agusta A109 Fly UK new;71
Agusta A109;Agusta A109 MFP;71
Agusta A109;Agusta A109 NEST;71
Agusta A109;Agusta A109A;71
Agusta A109;Agusta A109A E-POWER;71
Agusta A109;Agusta A109A EuroHarmony;71
Agusta A109;Agusta A109A Interceptor;71
Agusta A109;Agusta A109A Italian Army;71
Agusta A109;Agusta A109A MKII Carabinieri;71
Agusta A109;Agusta A109A MKII Executive;71
Agusta A109;Agusta A109A MKII Medical;71
Agusta A109;Agusta A109A MKII NEPA;71
Agusta A109;Agusta A109A MKII REGA;71
Agusta A109;Agusta A109A OM-ATB;71
Agusta A109;Agusta A109A OM-ATE;71
Agusta A109;Agusta A109A Rotorflug;71
Agusta A109;Agusta A109A Tiger Helicopters;71
Agusta A109;Agusta A109BA Beligian Army;71
